"Species","Year","n"
"Grandis Alekus",1950,1
"Grandis Alekus",1953,1
"Grandis Alekus",1955,1
"Grandis Alekus",1957,2
"Grandis Alekus",1958,1
"Grandis Alekus",1960,1
"Grandis Alekus",1961,1
"Grandis Alekus",1964,1
"Grandis Alekus",1965,2
"Grandis Alekus",1966,1
"Grandis Alekus",1967,1
"Grandis Alekus",1968,1
"Grandis Alekus",1969,3
"Grandis Alekus",1970,4
"Grandis Alekus",1971,1
"Grandis Alekus",1972,4
"Grandis Alekus",1973,2
"Grandis Alekus",1974,4
"Grandis Alekus",1975,7
"Grandis Alekus",1976,6
"Grandis Alekus",1977,5
"Grandis Alekus",1978,9
"Grandis Alekus",1979,6
"Grandis Alekus",1980,6
"Grandis Alekus",1981,7
"Grandis Alekus",1982,4
"Grandis Alekus",1983,5
"Grandis Alekus",1984,4
"Grandis Alekus",1985,5
"Grandis Alekus",1986,8
"Grandis Alekus",1987,10
"Grandis Alekus",1988,7
"Grandis Alekus",1989,3
"Grandis Alekus",1990,8
"Grandis Alekus",1991,5
"Grandis Alekus",1992,5
"Grandis Alekus",1993,9
"Grandis Alekus",1994,9
"Grandis Alekus",1995,5
"Grandis Alekus",1996,2
"Grandis Alekus",1997,6
"Grandis Alekus",1998,15
"Grandis Alekus",1999,11
"Grandis Alekus",2000,16
"Grandis Alekus",2001,7
"Grandis Alekus",2002,8
"Grandis Alekus",2003,20
"Grandis Alekus",2004,20
"Grandis Alekus",2005,29
"Grandis Alekus",2006,29
"Grandis Alekus",2007,36
"Grandis Alekus",2008,19
"Grandis Alekus",2009,19
"Grandis Alekus",2010,10
"Grandis Alekus",2011,21
"Grandis Alekus",2012,21
"Grandis Alekus",2013,18
"Grandis Alekus",2014,15
"Grandis Alekus",2015,10
"Grandis Alekus",2016,2
"Grassman",1921,1
"Grassman",1937,1
"Grassman",1953,1
"Grassman",1956,1
"Grassman",1958,2
"Grassman",1960,1
"Grassman",1961,2
"Grassman",1962,1
"Grassman",1963,2
"Grassman",1966,1
"Grassman",1967,2
"Grassman",1968,1
"Grassman",1970,5
"Grassman",1971,4
"Grassman",1972,4
"Grassman",1973,6
"Grassman",1974,4
"Grassman",1975,3
"Grassman",1976,8
"Grassman",1977,12
"Grassman",1978,24
"Grassman",1979,4
"Grassman",1980,16
"Grassman",1981,4
"Grassman",1982,7
"Grassman",1983,8
"Grassman",1984,3
"Grassman",1985,3
"Grassman",1986,5
"Grassman",1987,9
"Grassman",1988,9
"Grassman",1989,4
"Grassman",1990,6
"Grassman",1991,7
"Grassman",1992,4
"Grassman",1993,2
"Grassman",1994,8
"Grassman",1995,9
"Grassman",1996,6
"Grassman",1997,14
"Grassman",1998,16
"Grassman",1999,16
"Grassman",2000,20
"Grassman",2001,21
"Grassman",2002,18
"Grassman",2003,18
"Grassman",2004,28
"Grassman",2005,35
"Grassman",2006,31
"Grassman",2007,24
"Grassman",2008,18
"Grassman",2009,18
"Grassman",2010,17
"Grassman",2011,18
"Grassman",2012,16
"Grassman",2013,19
"Grassman",2014,14
"Grassman",2015,23
"Grassman",2016,16
"Mogollon",1957,1
"Mogollon",1964,2
"Mogollon",1971,4
"Mogollon",1972,1
"Mogollon",1973,1
"Mogollon",1975,1
"Mogollon",1977,2
"Mogollon",1978,2
"Mogollon",1979,2
"Mogollon",1981,3
"Mogollon",1982,1
"Mogollon",1983,2
"Mogollon",1986,3
"Mogollon",1987,2
"Mogollon",1989,2
"Mogollon",1990,1
"Mogollon",1992,1
"Mogollon",1993,1
"Mogollon",1994,4
"Mogollon",1995,3
"Mogollon",1996,4
"Mogollon",1997,6
"Mogollon",1998,8
"Mogollon",1999,3
"Mogollon",2000,13
"Mogollon",2001,10
"Mogollon",2002,8
"Mogollon",2003,9
"Mogollon",2004,6
"Mogollon",2005,20
"Mogollon",2006,16
"Mogollon",2007,6
"Mogollon",2008,7
"Mogollon",2009,7
"Mogollon",2010,2
"Mogollon",2011,6
"Mogollon",2012,2
"Mogollon",2013,7
"Mogollon",2014,7
"Mogollon",2016,2
"Momo",1925,1
"Momo",1930,1
"Momo",1938,1
"Momo",1942,1
"Momo",1950,1
"Momo",1954,1
"Momo",1956,1
"Momo",1960,2
"Momo",1961,3
"Momo",1964,3
"Momo",1965,1
"Momo",1966,1
"Momo",1967,2
"Momo",1968,4
"Momo",1969,6
"Momo",1970,5
"Momo",1971,4
"Momo",1972,8
"Momo",1973,10
"Momo",1974,8
"Momo",1975,16
"Momo",1976,12
"Momo",1977,16
"Momo",1978,15
"Momo",1979,16
"Momo",1980,17
"Momo",1981,8
"Momo",1982,8
"Momo",1983,10
"Momo",1984,3
"Momo",1985,5
"Momo",1986,13
"Momo",1987,5
"Momo",1988,3
"Momo",1989,9
"Momo",1990,6
"Momo",1991,5
"Momo",1992,5
"Momo",1993,6
"Momo",1994,11
"Momo",1995,4
"Momo",1996,11
"Momo",1997,18
"Momo",1998,13
"Momo",1999,11
"Momo",2000,26
"Momo",2001,25
"Momo",2002,15
"Momo",2003,45
"Momo",2004,90
"Momo",2005,57
"Momo",2006,21
"Momo",2007,20
"Momo",2008,22
"Momo",2009,26
"Momo",2010,29
"Momo",2011,35
"Momo",2012,35
"Momo",2013,20
"Momo",2014,26
"Momo",2015,18
"Momo",2016,12
"Sasquatch",1869,1
"Sasquatch",1941,1
"Sasquatch",1944,1
"Sasquatch",1948,1
"Sasquatch",1949,2
"Sasquatch",1950,1
"Sasquatch",1952,1
"Sasquatch",1955,1
"Sasquatch",1956,2
"Sasquatch",1957,1
"Sasquatch",1958,2
"Sasquatch",1959,1
"Sasquatch",1960,1
"Sasquatch",1961,2
"Sasquatch",1962,2
"Sasquatch",1963,6
"Sasquatch",1964,2
"Sasquatch",1965,3
"Sasquatch",1966,3
"Sasquatch",1967,7
"Sasquatch",1968,4
"Sasquatch",1969,7
"Sasquatch",1970,11
"Sasquatch",1971,6
"Sasquatch",1972,9
"Sasquatch",1973,8
"Sasquatch",1974,14
"Sasquatch",1975,12
"Sasquatch",1976,10
