"","V1","V2"
"1",NA,NA
"2","ABUT",169
"3","ADJACENT",70
"4","AFT",47
"5","ANCHOR",12
"6","ARK",47
"7","BINOCULAR",111
"8","BOAR",5
"9","DINT",56
"10","E",613
"11","ED",100
"12","EH",146
"13","GLOW",137
"14","HARE",7293
"15","HIGHS",61
"16","ITCH",52
"17","KIKE",127
"18","L",293
"19","PHISH",95
"20","PI",70
"21","PRINCE",6
"22","RIV",23
"23","SALON",4
"24","SASQUATCH",695
"25","SAW",596
"26","SCANNED",42
"27","SHIRE",2
"28","TA",207
"29","TOOK",1791
"30","TUNDRA",4
"31","U",145
"32","UPRIVER",10
"33","URN",176
"34","WILLIAM",17
"35","WIT",142
"36","YO",650
"37","AB",52
"38","AGITATE",59
"39","ALOUD",10
"40","ALTO",23
"41","BALE",14
"42","BANG",139
"43","BARK",47
"44","BIGFOOT",2525
"45","BIN",66
"46","BRAMBLE",13
"47","BRAN",7
"48","BRIE",39
"49","BU",53
"50","CAMPSITE",358
"51","CEDE",18
"52","CHIDE",285
"53","CHIT",34
"54","CIRCULAR",14
"55","CIRCUMFERENCE",16
"56","CLOCHE",25
"57","COM",2
"58","CON",26
"59","CONDO",8
"60","COOT",29
"61","COTE",3
"62","COULDN'T",1110
"63","DAB",3
"64","DAME",2064
"65","DEFINITE",120
"66","DEFUNCT",4
"67","DENT",34
"68","DEW",95
"69","DINK",9
"70","DISREPAIR",4
"71","DOME",54
"72","DOUG",21
"73","ELATE",3
"74","EN",10
"75","ENCLOSE",11
"76","ESPECIAL",6
"77","ETA",76
"78","F",161
"79","FARMLAND",27
"80","FELT",32
"81","FIR",51
"82","FLASHLIGHT",500
"83","FOND",21
"84","FORGOT",59
"85","FRO",135
"86","FRY",113
"87","FURTHER",471
"88","GAD",198
"89","GAVE",105
"90","GOTTEN",156
"91","GROWTHS",1
"92","GRUE",203
"93","GT",856
"94","HOKE",379
"95","HONE",891
"96","HORIZONTAL",22
"97","HUMANE",20
"98","IMPENETRABLE",5
"99","IMPROBABLE",3
"100","INHUMAN",20
"101","INSISTENT",7
"102","JUDGES",1
"103","JUT",90
"104","KEPI",813
"105","LAT",17
"106","LIBERATE",33
"107","LOUR",212
"108","MANE",91
"109","MASER",11
"110","MI",91
"111","MISSISSIPPI",34
"112","MITE",881
"113","MOUND",46
"114","MT",423
"115","MUTE",19
"116","MYNA",15
"117","NAY",37
"118","NEWT",204
"119","NIT",231
"120","OCCURRENCE",108
"121","ODOR",145
"122","OVERGROW",19
"123","OVERGROWN",34
"124","PENIS",99
"125","PEONY",21
"126","PERMEABLE",3
"127","PHENOMENAL",7
"128","PHEW",27
"129","POD",4
"130","PONE",27
"131","PRAT",76
"132","PWN",115
"133","QUAY",184
"134","REMIT",2
"135","RIFE",23
"136","RIFT",38
"137","ROVE",1117
"138","ROWEL",12
"139","SAT",596
"140","SCAR",59
"141","SCRAM",12
"142","SCRIBE",40
"143","SEEN",22
"144","SHRIKE",29
"145","SIFT",943
"146","SOLDER",163
"147","SOPHISTICATE",1
"148","SOWN",66
"149","SPECIE",3
"150","SPLITTING",5
"151","SQUIRT",15
"152","STALLION",5
"153","STAT",3
"154","STORMY",18
"155","SUBMITTING",31
"156","SUNLIT",3
"157","SWISH",6
"158","TAN",32
"159","TARE",29
"160","TEEM",9
"161","THATCH",496
"162","THAW",144
"163","THEE",28
"164","THICKET",175
"165","THIGHS",161
"166","TOAD",323
"167","TRACEABLE",3
"168","UNDER STORY",8
"169","UNEASE",117
"170","VAMP",1036
"171","VEER",32
"172","VEGAN",857
"173","VERT",57
"174","VIE",25
"175","VOCALIZATION",315
"176","W",492
"177","WEBSITE",217
"178","WOLD",70
"179","WRING",8
"180","X",98
"181","YOB",187
"182","YORK",32
"183","AUGHT",400
"184","BECK",38
"185","COUGAR",159
"186","COYOTE",468
"187","DAIS",3223
"188","DHOW",10
"189","DROPPED",219
"190","FAIR FAX",4
"191","GAR",19
"192","HALE",35
"193","HAW",17
"194","HEED",265
"195","HOE",17
"196","IDAHO",71
"197","JOWL",563
"198","LEA",32
"199","LIME",2204
"200","LO",21
"201","MIST",9
"202","MY SELF",15
"203","NW",44
"204","OILY",36
"205","OUTTA",25
"206","PISS",21
"207","RAKE",376
"208","SCH",9
"209","SINE",20
"210","STUD",1416
"211","TEAL",7
"212","TELEVISE",3
"213","THRU",191
"214","THUNK",59
"215","TOW",58
"216","TUN",2187
"217","VA",47
"218","VIBRATE",41
"219","YAM",7
"220","YAM HILL",3
"221","ALT",4
"222","AMASS",79
"223","BARB",80
"224","BOT",56
