"","V1","V2","V3"
"1",NA,NA,NA
"2","ADJACENT","WIT",2
"3","AFT","ANCHOR",2
"4","ANCHOR","SHIRE",2
"5","ARK","HARE",2
"6","BINOCULAR","EH",2
"7","BOAR","ABUT",2
"8","DINT","E",3
"9","E","TA",2
"10","ED","L",5
"11","EH","DINT",8
"12","GLOW","ITCH",2
"13","HARE","GLOW",3
"14","HIGHS","TOOK",2
"15","ITCH","KIKE",2
"16","L","SAW",2
"17","PI","YO",2
"18","PRINCE","WILLIAM",4
"19","SALON","PHISH",2
"20","SASQUATCH","PI",5
"21","SAW","SALON",2
"22","SCANNED","UPRIVER",4
"23","SHIRE","HIGHS",2
"24","TA","ED",2
"25","TOOK","BOAR",2
"26","U","RIV",2
"27","UPRIVER","ADJACENT",4
"28","WILLIAM","AFT",2
"29","WIT","ARK",3
"30","AB","IMPENETRABLE",1
"31","ABUT","AB",4
"32","AGITATE","INSISTENT",3
"33","ALOUD","SHRIKE",1
"34","BANG","U",1
"35","BARK","JUT",1
"36","BIGFOOT","OCCURRENCE",4
"37","BIN","HOKE",1
"38","BRAMBLE","DAME",3
"39","BRIE","BRAMBLE",3
"40","BU","GT",1
"41","CAMPSITE","GAD",1
"42","CEDE","W",1
"43","CHIT","SOWN",1
"44","CIRCULAR","MOUND",3
"45","CIRCUMFERENCE","POD",1
"46","COM","FIR",1
"47","CON","PHEW",1
"48","COOT","RIFT",2
"49","DAB","TEEM",1
"50","DAME","BRIE",1
"51","DEFINITE","AGITATE",3
"52","DEW","THIGHS",4
"53","DISREPAIR","PRAT",1
"54","DOME","MT",1
"55","DOUG","VERT",1
"56","ETA","RIFE",1
"57","F","NAY",1
"58","FARMLAND","LAT",1
"59","FELT","BANG",1
"60","FLASHLIGHT","QUAY",3
"61","FOND","FRO",1
"62","FRO","BALE",1
"63","FRY","DEW",1
"64","FURTHER","FELT",1
"65","GAD","BIN",23
"66","GAVE","IMPROBABLE",1
"67","GRUE","LOUR",11
"68","GT","GRUE",1
"69","HOKE","THATCH",3
"70","HORIZONTAL","FRY",1
"71","HUMANE","INHUMAN",1
"72","IMPENETRABLE","THICKET",3
"73","IMPROBABLE","BIGFOOT",3
"74","JUT","CHIT",1
"75","KEPI","PONE",1
"76","KIKE","COULDN'T",1
"77","LIBERATE","BARK",3
"78","LOUR","TAN",1
